image,prime1,prime2,jaccard_raw,jaccard_lemmatized,cosine_similarity
000000000139.jpg,P0_Neutral,P1_Chef,0.07051282051282051,0.04065040650406504,0.3667723536491394
000000000139.jpg,P0_Neutral,P2_Security,0.13513513513513514,0.07627118644067797,0.46956151723861694
000000000139.jpg,P0_Neutral,P3_Child,0.1259259259259259,0.0673076923076923,0.2765434980392456
000000000139.jpg,P0_Neutral,P4_Mobility,0.13245033112582782,0.075,0.4191031754016876
000000000139.jpg,P0_Neutral,P5_Urgent,0.11764705882352941,0.05925925925925926,0.5125318765640259
000000000139.jpg,P1_Chef,P2_Security,0.0784313725490196,0.025423728813559324,0.3615990877151489
000000000139.jpg,P1_Chef,P3_Child,0.07194244604316546,0.009615384615384616,0.12859320640563965
000000000139.jpg,P1_Chef,P4_Mobility,0.11258278145695365,0.07894736842105263,0.4745256304740906
000000000139.jpg,P1_Chef,P5_Urgent,0.0935672514619883,0.06201550387596899,0.3992152512073517
000000000139.jpg,P2_Security,P3_Child,0.13636363636363635,0.061224489795918366,0.21470749378204346
000000000139.jpg,P2_Security,P4_Mobility,0.15753424657534246,0.0990990990990991,0.479248046875
000000000139.jpg,P2_Security,P5_Urgent,0.19745222929936307,0.11475409836065574,0.5294570922851562
000000000139.jpg,P3_Child,P4_Mobility,0.11678832116788321,0.0392156862745098,0.18206597864627838
000000000139.jpg,P3_Child,P5_Urgent,0.11688311688311688,0.034482758620689655,0.26677703857421875
000000000139.jpg,P4_Mobility,P5_Urgent,0.10404624277456648,0.05343511450381679,0.29127946496009827
000000000285.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.05866602808237076
000000000285.jpg,P0_Neutral,P2_Security,0.10526315789473684,0.04,0.5184417963027954
000000000285.jpg,P0_Neutral,P3_Child,0.09210526315789473,0.06666666666666667,0.5721954107284546
000000000285.jpg,P0_Neutral,P4_Mobility,0.0,0.0,0.05866602808237076
000000000285.jpg,P0_Neutral,P5_Urgent,0.088,0.03296703296703297,0.3637082874774933
000000000285.jpg,P0_Neutral,P6_Leisure,0.07216494845360824,0.013333333333333334,0.44965752959251404
000000000285.jpg,P1_Chef,P2_Security,0.0,0.0,0.02762569487094879
000000000285.jpg,P1_Chef,P3_Child,0.0,0.0,0.07867605239152908
000000000285.jpg,P1_Chef,P4_Mobility,0.0,0.0,1.0000001192092896
000000000285.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.004222970921546221
000000000285.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.07631910592317581
000000000285.jpg,P2_Security,P3_Child,0.09868421052631579,0.038461538461538464,0.45822179317474365
000000000285.jpg,P2_Security,P4_Mobility,0.0,0.0,0.02762569487094879
000000000285.jpg,P2_Security,P5_Urgent,0.1322314049586777,0.046511627906976744,0.6110498905181885
